entry_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,auth_status,label
USR_111,user,2026-07-01 08:00:09,192.168.250.21,"San Francisco, US|37.7774,-122.4201",/report/download,password,3156,connect -> access_download -> disconnect,OS:Ubuntu22|Browser:Firefox121|MAC:00:1A:2B:3C:4D:5E|Proto:HTTPS,SUCCESS,normal
USR_128,user,2026-07-01 08:00:32,192.168.17.99,"Sao Paulo, BR|-23.5473,-46.6257",/dashboard/home,password,2417,connect -> access_home -> disconnect,OS:MacOS14|Browser:Safari17|MAC:F0:18:98:44:55:66|Proto:HTTPS,SUCCESS,normal
SVC_145,service_account,2026-07-01 08:00:35,192.168.182.162,"San Francisco, US|37.7737,-122.4206",/queue/consume,token,14,connect -> access_consume -> disconnect,OS:Linux-Kernel6.1|Client:Go-http-client/2.0|MAC:52:54:00:12:34:56|Proto:gRPC,SUCCESS,normal
USR_124,user,2026-07-01 08:01:02,192.168.138.68,"Bangalore, IN|12.9795,77.5984",/user/profile,password,2505,connect -> access_profile -> disconnect,OS:MacOS14|Browser:Safari17|MAC:F0:18:98:44:55:66|Proto:HTTPS,SUCCESS,normal
USR_109,user,2026-07-01 08:01:16,192.168.25.217,"Singapore, SG|1.3498,103.8225",/document/view,password,291,connect -> access_view -> disconnect,OS:Ubuntu22|Browser:Firefox121|MAC:00:1A:2B:3C:4D:5E|Proto:HTTPS,SUCCESS,normal
USR_103,user,2026-07-01 08:01:45,192.168.152.8,"San Francisco, US|37.7726,-122.4217",/email/inbox,password,1585,connect -> access_inbox -> disconnect,OS:Windows11|Browser:Chrome120|MAC:AC:DE:48:11:22:33|Proto:HTTPS,SUCCESS,normal
SVC_143,service_account,2026-07-01 08:01:53,192.168.64.87,"San Francisco, US|37.7761,-122.4290",/db/backup/run,token,11,connect -> access_run -> disconnect,OS:Linux-Kernel6.1|Client:Go-http-client/2.0|MAC:52:54:00:12:34:56|Proto:gRPC,SUCCESS,normal
USR_127,user,2026-07-01 08:02:22,192.168.161.41,"Chicago, US|41.8695,-87.6326",/api/v1/user/settings,password,2662,connect -> access_settings -> disconnect,OS:MacOS14|Browser:Safari17|MAC:F0:18:98:44:55:66|Proto:HTTPS,SUCCESS,normal
USR_116,user,2026-07-01 08:02:52,192.168.95.91,"Chicago, US|41.8730,-87.6282",/tools/analytics,password,785,connect -> access_analytics -> disconnect,OS:MacOS14|Browser:Safari17|MAC:F0:18:98:44:55:66|Proto:HTTPS,SUCCESS,normal
USR_127,user,2026-07-01 08:03:21,192.168.161.175,"Chicago, US|41.8736,-87.6369",/email/inbox,password,221,connect -> access_inbox -> disconnect,OS:MacOS14|Browser:Safari17|MAC:F0:18:98:44:55:66|Proto:HTTPS,SUCCESS,normal
USR_122,user,2026-07-01 08:03:51,192.168.55.102,"Tokyo, JP|35.6835,139.6492",/report/download,password,3324,connect -> access_download -> disconnect,OS:Ubuntu22|Browser:Firefox121|MAC:00:1A:2B:3C:4D:5E|Proto:HTTPS,SUCCESS,normal
USR_116,user,2026-07-01 08:04:19,192.168.95.172,"Chicago, US|41.8784,-87.6369",/email/inbox,password,1212,connect -> access_inbox -> disconnect,OS:MacOS14|Browser:Safari17|MAC:F0:18:98:44:55:66|Proto:HTTPS,SUCCESS,normal
USR_125,user,2026-07-01 08:04:23,192.168.103.57,"Sao Paulo, BR|-23.5532,-46.6327",/tools/analytics,password,278,connect -> access_analytics -> disconnect,OS:Ubuntu22|Browser:Firefox121|MAC:00:1A:2B:3C:4D:5E|Proto:HTTPS,SUCCESS,normal
USR_113,user,2026-07-01 08:04:31,192.168.50.18,"Sao Paulo, BR|-23.5563,-46.6314",/report/download,password,3464,connect -> access_download -> disconnect,OS:Ubuntu22|Browser:Firefox121|MAC:00:1A:2B:3C:4D:5E|Proto:HTTPS,SUCCESS,normal
USR_115,user,2026-07-01 08:04:41,192.168.98.163,"San Francisco, US|37.7719,-122.4209",/dashboard/home,password,1033,connect -> access_home -> disconnect,OS:MacOS14|Browser:Safari17|MAC:F0:18:98:44:55:66|Proto:HTTPS,SUCCESS,normal
USR_126,user,2026-07-01 08:04:48,192.168.24.194,"Sydney, AU|-33.8718,151.2186",/document/view,password,1464,connect -> access_view -> disconnect,OS:Windows11|Browser:Chrome120|MAC:AC:DE:48:11:22:33|Proto:HTTPS,SUCCESS,normal
USR_118,user,2026-07-01 08:05:13,192.168.42.70,"London, UK|51.5073,-0.1331",/api/v1/user/settings,password,1558,connect -> access_settings -> disconnect,OS:Ubuntu22|Browser:Firefox121|MAC:00:1A:2B:3C:4D:5E|Proto:HTTPS,SUCCESS,normal
SVC_144,service_account,2026-07-01 08:05:26,192.168.142.151,"Sao Paulo, BR|-23.5464,-46.6394",/queue/consume,token,58,connect -> access_consume -> disconnect,OS:Linux-Kernel6.1|Client:Go-http-client/2.0|MAC:52:54:00:12:34:56|Proto:gRPC,SUCCESS,normal
USR_108,user,2026-07-01 08:05:27,192.168.246.27,"London, UK|51.5084,-0.1376",/email/inbox,password,1189,connect -> access_inbox -> disconnect,OS:Windows11|Browser:Chrome120|MAC:AC:DE:48:11:22:33|Proto:HTTPS,SUCCESS,normal
USR_103,user,2026-07-01 08:05:36,192.168.152.9,"San Francisco, US|37.7683,-122.4184",/user/profile,password,564,connect -> access_profile -> disconnect,OS:Windows11|Browser:Chrome120|MAC:AC:DE:48:11:22:33|Proto:HTTPS,SUCCESS,normal
